PARROQUIA_CODIGO,parroquia_urbana_cne,sufragantes_v1,nulos,blancos,nulos_blancos_v1_pct,nulos_blancos_v1_n,votos_validos_v1,pc_centro,"pc_centro_con_tinte
institucionalista",pc_centro_pragmático,"pc_centro-derecha
moderado","pc_centro-izquierda
libertaria","pc_daniel_noboa_azin
(derecha_liberal_
moderada)",pc_derecha_autoritaria,"pc_derecha_autoritaria
dura","pc_derecha_autoritaria
moderada",pc_derecha_liberal,pc_derecha_moderada,pc_izquierda_autoritaria,pc_izquierda_libertaria,"pc_luisa_gonzalez
(izquierda_autoritaria)",votos_validos_v2,elec_v2_noboa_pct,elec_v2_luisa_pct,elec_v2_noboa_minus_luisa,zona_id_cne
5015.0,CHIMBACALLE,63666.0,3776.0,481.0,0.06686457449816229,4257.0,59384.0,0.03834366159234811,0.0006735821096591674,0.002610130674929274,0.0018018321433382728,0.0029637612825003366,0.5055907315101711,0.005944362117742153,0.002172302303650815,0.0027616866496025867,0.0013303246665768557,0.0035699851811935874,0.013471642193183348,0.05189950154923885,0.3668664960258656,60297.0,0.6403635338408212,0.3596364661591787,0.2807270676816425,URB-5015
7240.0,SAN BARTOLO,45228.0,2628.0,293.0,0.0645838860882639,2921.0,42291.0,0.03929914166134638,0.0009931191033553239,0.002908420231254877,0.0016788441985292378,0.0034759168617436334,0.49994088576765744,0.004658201508595209,0.0015842614267811118,0.0024827977583883097,0.001229576032725639,0.0038542479487361377,0.014021895911659692,0.054408739448109526,0.3694639521411175,42745.0,0.6367762311381449,0.3632237688618552,0.27355246227628965,URB-7240
7140.0,CENTRO HISTORICO,55757.0,3493.0,480.0,0.07125562709614937,3973.0,51768.0,0.03229794467624787,0.001081749343223613,0.003052078504095194,0.0025884716427136455,0.003361149745016226,0.48495209395765726,0.006490496059341678,0.002279400401792613,0.0024725699273682586,0.0013908205841446453,0.003573636223149436,0.013444598980064905,0.07993354968320197,0.3630814402719827,52679.0,0.6294348791738643,0.37056512082613563,0.2588697583477287,URB-7140
7210.0,LA MENA,21706.0,1367.0,220.0,0.07311342485948585,1587.0,20103.0,0.03417400388001791,0.0005969258319653783,0.0019400089538874794,0.0019897527732179276,0.003084116798487788,0.4880366114510272,0.005869770680992887,0.0013430831219221012,0.003084116798487788,0.0013430831219221012,0.003382579714470477,0.01402775705118639,0.05695667313336318,0.38417151668905136,20134.0,0.6248634151187047,0.3751365848812953,0.24972683023740938,URB-7210
5535.0,LA LIBERTAD,14849.0,1037.0,141.0,0.07933194154488518,1178.0,13669.0,0.032701733850318236,0.0009510571365864364,0.002926329651035189,0.0018289560318969931,0.0032921208574145876,0.448898968468798,0.006364766991001536,0.003438437339966347,0.0027800131684834295,0.0018289560318969931,0.0024873802033799105,0.012290584534347794,0.09452044772843661,0.3856902480064379,13917.0,0.6245598907810591,0.3754401092189409,0.24911978156211823,URB-5535
5260.0,CHILLOGALLO,95038.0,6396.0,837.0,0.07610639954544499,7233.0,87765.0,0.039924799179627414,0.000786190394804307,0.0022902068022560246,0.0019142027003930951,0.002335783057027289,0.4343644960975332,0.004717142368825842,0.0016749273628439583,0.003691676636472398,0.0015381985985301657,0.004409502649119808,0.014880647182817753,0.07988378055033328,0.4075884464194155,88996.0,0.6053530495752618,0.3946469504247382,0.21070609915052363,URB-5260
7205.0,LA FERROVIARIA,30190.0,1906.0,273.0,0.07217621729049355,2179.0,28002.0,0.03428326548103707,0.0011070637811584887,0.0029997857295907433,0.0018212984786800943,0.003999714306120991,0.4657881579887151,0.0065709592171987715,0.0021069923576887365,0.002392686236697379,0.0013570459252910507,0.004142561245625312,0.012856224555388901,0.06220984215413185,0.3983644025426755,28525.0,0.6051183172655565,0.39488168273444346,0.21023663453111308,URB-7205
7230.0,QUITUMBE,36685.0,2165.0,333.0,0.06809322611421562,2498.0,34171.0,0.03944865529249949,0.0007316145269380469,0.0031313101752948407,0.0020192560943490096,0.0027508706212870564,0.4633753767814814,0.00421409967516315,0.0019314623511164438,0.0020192560943490096,0.0011413186620233531,0.0029557226888297095,0.01202774282286149,0.07181528196423868,0.39243803224956836,34570.0,0.6048307781313278,0.39516922186867226,0.20966155626265554,URB-7230
7200.0,LA ECUATORIANA,30800.0,1965.0,315.0,0.07402597402597402,2280.0,28499.0,0.03470297203410646,0.000736867960279308,0.003473806098459595,0.0021053370293694514,0.0028422049896487597,0.41559352959752976,0.005789676830765992,0.002210603880837924,0.0028772939401382506,0.0014035580195796344,0.0035439839994385767,0.013298712235517035,0.09074002596582337,0.4206814274185059,28805.0,0.5742058670369727,0.42579413296302726,0.14841173407394548,URB-7200
7160.0,EL CONDADO,42140.0,2864.0,430.0,0.07816801139060275,3294.0,38825.0,0.033638119768190596,0.000746941403734707,0.0034771410173857053,0.001905988409529942,0.003013522215067611,0.42972311654861556,0.006773985833869929,0.001957501609787508,0.0026529298132646493,0.001468126207340631,0.0036059240180296203,0.011461687057308436,0.06343850611719253,0.43613650998068254,39296.0,0.573239006514658,0.426760993485342,0.14647801302931596,URB-7160
7150.0,COMITE DEL PUEBLO,26165.0,1832.0,246.0,0.07941907127842537,2078.0,24083.0,0.03845035917452145,0.0013702611800855374,0.0029066146244238673,0.0018685379728439148,0.0022007225013494997,0.42694016526180295,0.005730183116721339,0.0021176763692231032,0.0032803222189926504,0.0015363534443383299,0.004442968068762198,0.013910227131171366,0.04812523356724661,0.44712037536851723,24544.0,0.5673076923076923,0.4326923076923077,0.13461538461538458,URB-7150
7260.0,TURUBAMBA,28032.0,1754.0,315.0,0.07380850456621005,2069.0,25951.0,0.03448807367731494,0.0006165465685330045,0.0023120496319987667,0.0024276521135987053,0.002466186274132018,0.4019498285229856,0.0046240992639975335,0.001965242187198952,0.0019267080266656392,0.001233093137066009,0.003506608608531463,0.01109783823359408,0.10774151285114254,0.4236445609032407,26153.0,0.5586357205674302,0.4413642794325699,0.11727144113486027,URB-7260
7165.0,GUAMANI,46598.0,3064.0,454.0,0.07549680243787286,3518.0,43059.0,0.035277177825773935,0.0008360621472862816,0.001997259574072784,0.001532780603358183,0.0017650200887154835,0.3733017487633247,0.004366102324717248,0.0023223948535730046,0.0026010822360017652,0.0014398848092152627,0.0037855036113239975,0.012215796929794003,0.12401588518079844,0.43454330105204486,43337.0,0.5558991162286268,0.4441008837713732,0.11179823245725357,URB-7165
