zona_id,parroquia_sat,fuente_margen,poblacion_total,poblacion_votante,censo_nbi_pobreza_pct,tasa_desempleo_pea,censo_edad_15_29_pct,censo_hombres_pct,joven_hombre_pct,joven_mujer_pct,joven_pobre_pct,joven_no_pobre_pct,margen_usado,indice_afinidad,e_votos_afines
50-348,Quito,real_barrio_cne,3223,2440,0.10114799875892026,0.11351667641895846,0.25969593546385356,0.4747130003102699,0.12069500465404902,0.13900093080980452,0.02854483400558486,0.2311511014582687,0.2497268302374093,0.5097212626751959,1243.719880927478
80-006,San Antonio,real_parroquia,5201,3935,0.09203642704902151,0.12014652014652015,0.2647567775427802,0.4762545664295328,0.13285906556431457,0.13189771197846567,0.02211113247452413,0.24168429148240722,0.1078990375885237,0.3150857083405627,1239.8622623201143
50-248,Quito,real_barrio_cne,2953,2189,0.27124957670165933,0.13261421319796954,0.27395868608195056,0.47443278022350155,0.1388418557399255,0.13511683034202507,0.07314595326786319,0.20081273281408737,0.2900763358778626,0.5650943898372349,1236.9916193537072
55-045,Calderón,real_parroquia,4602,3625,0.10734463276836158,0.09922779922779923,0.25575836592785745,0.4908735332464146,0.13255106475445458,0.12320730117340287,0.024337244676227728,0.23142112125162972,0.1266315416264707,0.3407930202813737,1235.3746985199796
50-255,Quito,real_barrio_cne,2792,2231,0.07954138301683984,0.10690571049136786,0.2238538681948424,0.4799426934097421,0.11210601719197708,0.11174785100286533,0.017191977077363897,0.20630372492836677,0.2807270676816425,0.5522640413984111,1232.1010763598551
50-247,Quito,real_barrio_cne,3272,2419,0.18551344743276282,0.1328883495145631,0.254278728606357,0.48105134474327627,0.12255501222493888,0.13172371638141808,0.04798288508557457,0.2062958435207824,0.2491197815621182,0.508888187202352,1231.0005248424893
50-403,Quito,real_barrio_cne,3588,2701,0.10033444816053512,0.14574468085106382,0.28678929765886285,0.4891304347826087,0.14743589743589744,0.13935340022296544,0.025919732441471572,0.2608695652173913,0.2096615562626555,0.45473819719838554,1228.2478706328393
50-050,Quito,real_barrio_cne,4119,3320,0.05678771630514258,0.07631359466221851,0.20538965768390385,0.46613255644573925,0.1002670551104637,0.10512260257344015,0.011410536537994658,0.1939791211459092,0.1464780130293159,0.36802907106475014,1221.8565159349705
50-183,Quito,real_barrio_cne,1927,1648,0.06382978723404255,0.06775067750677506,0.2018681888946549,0.4421380384016606,0.09548521017125065,0.10638297872340426,0.015568240788790867,0.18629994810586403,0.4175,0.739962622914521,1219.4584025631307
50-379,Quito,real_barrio_cne,3653,2671,0.1541199014508623,0.12590529247910864,0.2570490008212428,0.4812482890774706,0.12236517930468109,0.13468382151656172,0.04078839310156036,0.21626060771968245,0.2107060991505236,0.4561716622492717,1218.4345098678048
55-044,Calderón,real_parroquia,4535,3573,0.07719453021614468,0.0804464973056197,0.25424476295479603,0.491289966923925,0.1278941565600882,0.12635060639470783,0.017420066152149943,0.2368246968026461,0.1266315416264707,0.3407930202813737,1217.6534614653483
50-370,Quito,real_barrio_cne,2757,2189,0.08632571635836053,0.14540647719762062,0.2618788538266231,0.490025389916576,0.13674283641639462,0.1251360174102285,0.023213638012332245,0.2386652158142909,0.2836121437422552,0.5562233385704759,1217.5728881307718
50-187,Quito,real_barrio_cne,2423,2019,0.10299003322259136,0.13646702047005307,0.26537350392075937,0.4733801073049938,0.13082955014444902,0.13454395377631037,0.020635575732562937,0.24473792818819645,0.3176688362094704,0.6029606041892865,1217.3774598581695
55-010,Calderón,real_parroquia,4873,3563,0.1485737738559409,0.1728292480265891,0.28832341473424994,0.48861071208701007,0.14364867638005335,0.14467473835419659,0.03857993022778576,0.2497434845064642,0.1266315416264707,0.3407930202813737,1214.2455312625345
55-002,Calderón,real_parroquia,4801,3563,0.1558008748177463,0.145447378793851,0.29077275567590083,0.489897937929598,0.14559466777754634,0.1451780878983545,0.0416579879191835,0.24911476775671734,0.1266315416264707,0.3407930202813737,1214.2455312625345
80-010,San Antonio,real_parroquia,4878,3833,0.02907216494845361,0.07410071942446043,0.20602706027060272,0.479909799097991,0.10926609266092661,0.09676096760967609,0.004305043050430504,0.2017220172201722,0.1078990375885237,0.3150857083405627,1207.723520069377
50-380,Quito,real_barrio_cne,3505,2643,0.08530670470756063,0.15934356802541028,0.2579172610556348,0.48530670470756065,0.12838801711840228,0.12952924393723253,0.02368045649072753,0.23423680456490728,0.2107060991505236,0.4561716622492717,1205.661703324825
55-033,Calderón,real_parroquia,4525,3531,0.10160427807486631,0.1302503182011031,0.24441988950276244,0.47734806629834253,0.11977900552486188,0.12464088397790055,0.02298342541436464,0.22121546961325966,0.1266315416264707,0.3407930202813737,1203.3401546135306
50-417,Quito,real_barrio_cne,4380,3246,0.10594965675057208,0.17374005305039789,0.28378995433789955,0.4849315068493151,0.14383561643835616,0.13995433789954337,0.03264840182648402,0.25068493150684934,0.1484117340739454,0.37068278836811225,1203.2363310428923
50-214,Quito,real_barrio_cne,2471,1994,0.11638280616382807,0.08258774948382656,0.22784297855119384,0.4941319303925536,0.11776608660461352,0.11007689194658034,0.025900445163901255,0.2019425333872926,0.3176688362094704,0.6029606041892865,1202.3034447534374
65-002,Llano Chico,real_parroquia,4510,3371,0.21793164669329781,0.08690068493150685,0.24478935698447893,0.48093126385809315,0.11796008869179601,0.12682926829268293,0.05432372505543237,0.19046563192904656,0.1378352258999758,0.3561682528675731,1200.6431804165888
55-013,Calderón,real_parroquia,4777,3498,0.17584257902449235,0.1531387445021991,0.2669039145907473,0.4919405484613774,0.13774335356918568,0.12916056102156165,0.044169981159723676,0.22273393343102366,0.1266315416264707,0.3407930202813737,1192.0939849442452
50-460,Quito,real_barrio_cne,4484,3210,0.12932767478222024,0.13999044433827043,0.2778768956289028,0.48862622658340765,0.14272970561998216,0.13514719000892061,0.03256021409455843,0.24420160570918822,0.1484117340739454,0.37068278836811225,1189.8917506616403
55-047,Calderón,real_parroquia,4434,3485,0.052097428958051424,0.09331197436924309,0.25620207487595853,0.494361750112765,0.13261163734776726,0.12359043752819125,0.012178619756427604,0.24402345511953089,0.1266315416264707,0.3407930202813737,1187.6636756805874
50-318,Quito,real_barrio_cne,2769,2187,0.05200433369447454,0.11118421052631579,0.24196460816179127,0.4738172625496569,0.11664860960635609,0.12531599855543518,0.009389671361502348,0.2325749368002889,0.2735524622762896,0.5424180635817769,1186.268305053346
