zona_id,barrio,parroquia_sat,cluster,indice_afinidad,e_votos_afines,poblacion_votante,censo_nbi_pobreza_pct,tasa_desempleo_pea,censo_edad_15_29_pct,censo_hombres_pct,joven_hombre_pct,joven_mujer_pct,joven_pobre_pct,joven_no_pobre_pct,censo_internet_pct,censo_analf_digital_pct,censo_discapacidad_pct,censo_educ_superior_pct,censo_ocupacion_directiva_pct,censo_ocupacion_elemental_pct,censo_etnia_indigena_pct,censo_etnia_afro_pct,censo_etnia_montubio_pct,censo_etnia_mestizo_pct,censo_etnia_blanco_pct,censo_etnia_otro_pct,censo_agua_red_pct,censo_alcantarillado_pct,censo_electricidad_pct,censo_deficit_habitacional_pct,censo_vivienda_propia_pct,censo_internet_fijo_pct,censo_computadora_pct,censo_auto_pct,censo_hacinamiento_pct,viirs,ndvi,mndwi
50-140,Jipijapa,Quito,1,0.8314817526467053,3226.1492002692166,3880,0.1193617021276595,0.0797101449275362,0.2142097426079557,0.4603275898744948,0.1006168900233992,0.1135928525845564,0.036162518613061,0.1780472239948947,0.8761965539246969,0.0359497979153371,0.0410550946607104,0.5120187194213996,0.2427143161029568,0.0931716656030631,0.0363752393107849,0.0197830248883216,0.0089342693044033,0.8704530950861519,0.0644543714103382,0.0,0.923809523809524,0.9988795518207284,0.999439775910364,0.0661064425770308,0.5754874651810585,0.8662952646239555,0.7654596100278551,0.5381615598885794,0.026183844011142,72.58649050681514,0.0702073624085596,-0.0240236403749217
50-070,Ponceano,Quito,1,0.7431848799055887,3216.504160231388,4328,0.0495693779904306,0.0752757949383517,0.215078453884424,0.4743589743589743,0.1104094910065059,0.1046689628779181,0.0078453884424033,0.2072330654420206,0.915996938384998,0.0197091465748182,0.0476463834672789,0.5271718331419823,0.2460773057787983,0.074052812858783,0.006123230003827,0.0271718331419823,0.0084194412552621,0.9091083046306928,0.0491771909682357,0.0,0.9741657696447792,0.996232508073197,0.9994617868675996,0.0403659849300322,0.596886741814278,0.9371980676328504,0.8427267847557702,0.5888352120236178,0.0064412238325281,55.28067342657791,0.0855824306086642,-0.0205035385415718
57-001,Cumbayá,Cumbayá,1,0.8649595870863216,3212.4599064385984,3714,0.1098757357750163,0.044781643227239,0.2202393906420021,0.4713819368879216,0.1011969532100108,0.1190424374319912,0.0217627856365614,0.1984766050054407,0.8951033732317737,0.0319912948857453,0.0413492927094668,0.5366702937976061,0.3044613710554951,0.1225244831338411,0.0134929270946681,0.0130576713819368,0.0041349292709466,0.7653971708378673,0.2021762785636561,0.0017410228509249,0.9534722222222224,0.9458333333333332,0.9986111111111112,0.0756944444444444,0.699585635359116,0.9185082872928176,0.8584254143646409,0.7624309392265194,0.0124309392265193,33.31693536385725,0.2319557569079028,-0.053726049947732
50-137,Jipijapa,Quito,3,0.8314817526467053,3184.5751126368814,3830,0.1298857486470234,0.0886986301369863,0.2449919871794871,0.4927884615384615,0.1292067307692307,0.1157852564102564,0.0308493589743589,0.2141426282051282,0.8411458333333334,0.047676282051282,0.0378605769230769,0.3814102564102564,0.1875,0.1772836538461538,0.0751201923076923,0.0128205128205128,0.0096153846153846,0.8651842948717948,0.0360576923076923,0.001201923076923,0.939261114589856,0.9837194740137758,0.9906073888541016,0.110832811521603,0.5990129549660703,0.8340530536705737,0.6971005552128315,0.4904380012338063,0.0314620604565083,42.39075294884936,0.161867422012761,-0.0451525409229259
50-089,Kennedy,Quito,1,0.8327154923399763,3172.6460258153097,3810,0.04231375196939,0.0907282132908873,0.2017543859649122,0.4637876743139901,0.0994152046783625,0.1023391812865497,0.0087719298245614,0.1929824561403508,0.868421052631579,0.0521817363922627,0.0492577597840755,0.4865047233468286,0.194331983805668,0.0852451641925326,0.0092217723796671,0.0211426000899685,0.0114709851551956,0.8884390463337831,0.0686009896536212,0.0011246063877642,0.9884244372990354,0.9890675241157556,0.994855305466238,0.090032154340836,0.5964467005076142,0.8857868020304569,0.7703045685279187,0.4428934010152284,0.0095177664974619,63.90070774958684,0.0553817170548266,-0.0146137203105525
50-136,San Isidro Del Inca,Quito,0,0.6525392962564884,3077.3753211456,4716,0.1461746460951169,0.1203069334064127,0.2505169397168761,0.482105932877366,0.1231111818037219,0.1274057579131541,0.0349928423731509,0.2155240973437251,0.8089708923174805,0.0612374741530141,0.0369015428662319,0.3170033402258629,0.1561953236837919,0.1899156990615556,0.0887545729282646,0.0249721647844759,0.0082710354700174,0.8506441864164148,0.0271989820264036,0.0001590583744234,0.9402253797158256,0.9833414992650662,0.994610485056345,0.1254287114159725,0.6066212268743915,0.7945472249269717,0.6392405063291139,0.4055501460564751,0.0374878286270691,35.22473034907862,0.1561506100593996,-0.0470846190740666
70-912,Nayón,Nayón,3,0.7411572755534023,3046.897559800037,4111,0.1469318821542503,0.0627503337783711,0.2341902796021767,0.4901482454494276,0.1185963595421279,0.1155939200600487,0.0371551885907299,0.1970350910114468,0.8191030212047289,0.0643647963970726,0.0382811033965096,0.4209044848939763,0.211109026083693,0.1681366109964346,0.0300243948207918,0.0091949709138675,0.0022518296115593,0.8697691874648151,0.0874460499155563,0.0013135672734096,0.9406001224739744,0.8995713410900184,0.9987752602571952,0.1904470300061237,0.7385542168674699,0.8174698795180723,0.7325301204819277,0.6331325301204819,0.0421686746987951,29.81598600307545,0.2191741668321273,-0.0577450769734444
50-114,Kennedy,Quito,1,0.8327154923399763,3034.4152540868736,3644,0.0319645356976201,0.0585175552665799,0.1872667910447761,0.4664179104477612,0.0883861940298507,0.0988805970149253,0.0079291044776119,0.1791044776119403,0.9081156716417912,0.0314832089552238,0.0398787313432835,0.6077425373134329,0.2667910447761194,0.066231343283582,0.0088619402985074,0.0081623134328358,0.0051305970149253,0.8950559701492538,0.0811567164179104,0.0016324626865671,0.9842312746386334,0.9960578186596584,1.0,0.0532194480946123,0.6348791639451339,0.9399085564990204,0.8628347485303723,0.6943174395819726,0.0032658393207054,63.05643945333296,0.0771094156538932,-0.0114000517386856
50-132,Kennedy,Quito,3,0.8327154923399763,3030.251676625174,3639,0.1059751972942502,0.0950884086444007,0.2286935012367888,0.4809984259051045,0.1113109961771981,0.1173825050595907,0.0290083202158758,0.1996851810209129,0.850685855633011,0.0602653474252304,0.0386777602878345,0.4346750618394423,0.1888913874522149,0.1250281088374185,0.0460984933663143,0.0092196986732628,0.0076456037778277,0.8999325387901956,0.0355295704969642,0.0015740948954351,0.9529801324503312,0.9947019867549668,0.9993377483443708,0.1019867549668874,0.5049374588545096,0.8360763660302831,0.716919025674786,0.4535878867676102,0.031599736668861,82.51189821712,0.0577819855083421,-0.0269459964743775
50-034,Carcelen,Quito,3,0.6797486997336066,3029.639954712685,4457,0.0996128123900035,0.0650851581508515,0.2360084477296726,0.4785286870820133,0.1186202041534671,0.1173882435762055,0.025871172122492,0.2101372756071805,0.8732840549102429,0.0313269975360788,0.0295670538542766,0.4913762759591693,0.2377683914114748,0.1020767335445265,0.0186554030271031,0.0394227384723688,0.0054558254135867,0.8993312214009151,0.037134811686026,0.0,0.9426822481914302,0.9616026711185308,0.996661101836394,0.0690038953811908,0.7264673311184939,0.8992248062015504,0.8111849390919158,0.694905869324474,0.0110741971207087,41.92208848571096,0.1668249955461028,-0.0466543142430573
