zona_id,I03,nombre_cne,tipo_cne
50-292,50,San Bartolo,URBANA
50-293,50,San Bartolo,URBANA
50-294,50,San Bartolo,URBANA
50-295,50,La Ferroviaria,URBANA
50-296,50,La Ferroviaria,URBANA
50-297,50,La Ferroviaria,URBANA
50-298,50,La Ferroviaria,URBANA
50-299,50,La Ferroviaria,URBANA
50-300,50,La Ferroviaria,URBANA
50-301,50,La Ferroviaria,URBANA
50-302,50,La Ferroviaria,URBANA
50-303,50,La Ferroviaria,URBANA
50-304,50,La Ferroviaria,URBANA
50-305,50,La Ferroviaria,URBANA
50-306,50,La Ferroviaria,URBANA
50-307,50,La Ferroviaria,URBANA
50-308,50,San Bartolo,URBANA
50-309,50,San Bartolo,URBANA
50-310,50,San Bartolo,URBANA
50-311,50,San Bartolo,URBANA
50-312,50,San Bartolo,URBANA
50-313,50,San Bartolo,URBANA
50-314,50,Chilibulo,URBANA
50-315,50,Chilibulo,URBANA
50-316,50,La Mena,URBANA
50-317,50,La Mena,URBANA
50-318,50,San Bartolo,URBANA
50-319,50,San Bartolo,URBANA
50-320,50,San Bartolo,URBANA
50-321,50,La Mena,URBANA
50-322,50,La Mena,URBANA
50-323,50,La Mena,URBANA
50-324,50,La Mena,URBANA
50-325,50,La Mena,URBANA
50-326,50,La Mena,URBANA
50-327,50,San Bartolo,URBANA
50-328,50,Solanda,URBANA
50-329,50,Solanda,URBANA
50-330,50,Solanda,URBANA
50-331,50,San Bartolo,URBANA
50-332,50,La Argelia,URBANA
50-333,50,La Argelia,URBANA
50-334,50,La Argelia,URBANA
50-335,50,La Argelia,URBANA
50-336,50,La Argelia,URBANA
50-337,50,La Argelia,URBANA
50-338,50,La Argelia,URBANA
50-339,50,La Argelia,URBANA
50-340,50,La Argelia,URBANA
50-341,50,La Argelia,URBANA
50-342,50,Solanda,URBANA
50-343,50,Solanda,URBANA
50-344,50,Solanda,URBANA
50-345,50,Solanda,URBANA
50-346,50,Solanda,URBANA
50-347,50,Solanda,URBANA
50-348,50,La Mena,URBANA
50-349,50,La Mena,URBANA
50-350,50,La Mena,URBANA
50-351,50,La Mena,URBANA
50-352,50,La Mena,URBANA
50-353,50,Solanda,URBANA
50-354,50,Solanda,URBANA
50-355,50,Solanda,URBANA
50-356,50,Solanda,URBANA
50-357,50,La Argelia,URBANA
50-358,50,La Argelia,URBANA
50-359,50,La Argelia,URBANA
50-360,50,La Argelia,URBANA
50-361,50,La Argelia,URBANA
50-362,50,La Argelia,URBANA
50-363,50,La Argelia,URBANA
50-364,50,La Argelia,URBANA
50-365,50,La Argelia,URBANA
50-366,50,La Argelia,URBANA
50-367,50,Solanda,URBANA
50-368,50,Solanda,URBANA
50-369,50,Solanda,URBANA
50-370,50,Solanda,URBANA
50-371,50,Solanda,URBANA
50-372,50,Chillogallo,URBANA
50-373,50,Chillogallo,URBANA
50-374,50,Chillogallo,URBANA
50-375,50,Chillogallo,URBANA
50-376,50,Chillogallo,URBANA
50-377,50,Chillogallo,URBANA
50-378,50,Chillogallo,URBANA
50-379,50,Chillogallo,URBANA
50-380,50,Chillogallo,URBANA
50-381,50,Chillogallo,URBANA
50-382,50,Chillogallo,URBANA
50-383,50,Chillogallo,URBANA
50-384,50,Chillogallo,URBANA
50-385,50,Chillogallo,URBANA
50-386,50,Chillogallo,URBANA
50-387,50,Chillogallo,URBANA
50-388,50,Chillogallo,URBANA
50-389,50,Chillogallo,URBANA
50-390,50,Quitumbe,URBANA
50-391,50,Quitumbe,URBANA
50-392,50,Quitumbe,URBANA
50-393,50,Quitumbe,URBANA
50-394,50,Quitumbe,URBANA
50-395,50,Quitumbe,URBANA
50-396,50,Quitumbe,URBANA
50-397,50,Quitumbe,URBANA
50-398,50,Quitumbe,URBANA
50-399,50,Quitumbe,URBANA
50-400,50,Quitumbe,URBANA
50-401,50,Quitumbe,URBANA
50-402,50,Quitumbe,URBANA
50-403,50,Quitumbe,URBANA
50-404,50,Quitumbe,URBANA
50-405,50,Quitumbe,URBANA
50-406,50,Quitumbe,URBANA
50-407,50,Quitumbe,URBANA
50-408,50,Quitumbe,URBANA
50-409,50,Quitumbe,URBANA
50-410,50,Quitumbe,URBANA
50-411,50,Quitumbe,URBANA
50-412,50,Quitumbe,URBANA
50-413,50,Quitumbe,URBANA
50-414,50,Quitumbe,URBANA
50-415,50,La Ecuatoriana,URBANA
50-416,50,La Ecuatoriana,URBANA
50-417,50,La Ecuatoriana,URBANA
50-418,50,La Ecuatoriana,URBANA
50-419,50,Chillogallo,URBANA
50-420,50,La Ecuatoriana,URBANA
50-421,50,La Ecuatoriana,URBANA
50-422,50,La Ecuatoriana,URBANA
50-423,50,La Ecuatoriana,URBANA
50-424,50,La Ecuatoriana,URBANA
50-425,50,La Ecuatoriana,URBANA
50-426,50,Quitumbe,URBANA
50-427,50,Quitumbe,URBANA
50-428,50,La Ecuatoriana,URBANA
50-429,50,La Ecuatoriana,URBANA
50-430,50,La Ecuatoriana,URBANA
50-431,50,La Ecuatoriana,URBANA
50-432,50,La Ecuatoriana,URBANA
