zona_id,viirs,ndvi,mndwi
50-144,60.87995149518722,0.10731067325298635,-0.009165847111257142
50-145,58.094824194211014,0.12797933499240854,-0.005105264949540142
50-146,81.22155604471689,0.08152694309265433,0.0015118074373249308
50-147,95.0045163610562,0.06272269866062798,-0.002437276750463238
50-148,90.9247463033657,0.051788941827849086,-0.006584929775310779
50-149,91.68994938419554,0.05868642389482609,0.0024928208720914414
50-150,77.9506736870565,0.09873914594567033,-0.025923367719854703
50-151,72.0749641277172,0.10364704202600523,-0.013912105669750605
50-152,68.79997196252478,0.110590659957293,-0.011878396471127685
50-153,82.64445898220967,0.0690581187591319,-0.008887323139310996
50-154,100.86530963285469,0.07610138396351794,0.00811324533214622
50-155,102.75175643845915,0.05830980003283038,0.011811590306755286
50-156,119.38420210924532,0.15335239762820915,-0.015566452365691692
50-157,99.97728934393992,0.07863736951869216,-0.00019606549423744626
50-158,95.21044415212506,0.0729809109236486,-0.0015839813437515027
50-159,64.45945092053479,0.18079645937737943,-0.027237078910353974
50-160,40.949209467569986,0.12761822780313659,-0.010725032540536887
50-161,38.808665281786595,0.1570953592256514,-0.02823947304166733
50-162,46.56731426154477,0.15189080838944444,-0.028017490137166545
50-163,37.16892854949277,0.1459957005775912,-0.02893662507041975
50-164,46.957345678156074,0.09534256460151502,-0.018923420001761317
50-165,55.31552637478471,0.08697630062995641,-0.014673777781223293
50-166,73.64220053606694,0.0799462577957413,-0.00018216341782216816
50-167,69.60351616550207,0.08702740629894368,-0.006451343026370892
50-168,101.59490942521528,0.05685220214138843,-0.001489045709791253
50-169,107.1483769539075,0.05480241814112398,0.0037980693869721226
50-170,105.89460503427608,0.06296139343135544,0.009036549901549598
50-171,107.16936497890212,0.08495512971499546,-0.01187705376489208
50-172,100.71138420104981,0.06148399806844324,0.00048199406726622874
50-173,94.90918470888721,0.0799831084039512,0.011985056510380104
50-174,106.20938190660979,0.06812699508390808,0.009174449060974563
50-175,57.544714921614414,0.148917857090174,-0.016787730525048263
50-176,77.38526545161696,0.10327839265499475,-0.0006833611133378674
50-177,74.58341740100526,0.24359001756802337,-0.056645449104660114
50-178,100.59877628588494,0.08981566042379563,-0.004746553468610877
50-179,128.5719291933121,0.06387483649307014,-0.00220101409511302
50-180,140.2534654405382,0.055014267748154544,-0.01178223993768901
50-181,125.799819238585,0.06220227535172163,-0.007312646503418634
50-182,90.93907236238806,0.07038554387298468,-0.004261732490360433
50-183,71.50052107297459,0.11893360554942056,-0.011421697203421571
50-184,116.42461571326625,0.06404447509379098,-0.010117456866525529
50-185,80.73262927406715,0.06416250617982822,-0.0033088254217014594
