zona_id,censo_internet_pct,censo_analf_digital_pct,censo_discapacidad_pct,censo_educ_superior_pct,censo_ocupacion_directiva_pct,censo_ocupacion_elemental_pct,censo_etnia_indigena_pct,censo_etnia_afro_pct,censo_etnia_montubio_pct,censo_etnia_mestizo_pct,censo_etnia_blanco_pct,censo_etnia_otro_pct,censo_agua_red_pct,censo_alcantarillado_pct,censo_electricidad_pct,censo_deficit_habitacional_pct,censo_vivienda_propia_pct,censo_internet_fijo_pct,censo_computadora_pct,censo_auto_pct,censo_hacinamiento_pct
60-999,0.6963727329580988,0.1299249530956848,0.05753595997498437,0.12898686679174484,0.03424015009380863,0.2945590994371482,0.05597248280175109,0.023139462163852407,0.005159474671669793,0.9072858036272671,0.008442776735459663,0.0,0.8269435569755058,0.6480298189563365,0.9882854100106496,0.3572949946751864,0.5984615384615385,0.6487179487179487,0.39076923076923076,0.2282051282051282,0.06
61-001,0.3627450980392157,0.2549019607843137,0.18627450980392157,0.16666666666666666,0.049019607843137254,0.20588235294117646,0.0,0.06862745098039216,0.0,0.9313725490196079,0.0,0.0,0.9024390243902439,0.5365853658536586,1.0,0.6829268292682927,0.5476190476190477,0.47619047619047616,0.19047619047619047,0.11904761904761904,0.07142857142857142
61-888,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
61-999,0.47842401500938087,0.23702313946216386,0.09568480300187618,0.10569105691056911,0.01876172607879925,0.21951219512195122,0.00375234521575985,0.023139462163852407,0.01813633520950594,0.9443402126328956,0.010631644777986242,0.0,0.6647286821705426,0.31007751937984496,0.9515503875968992,0.7790697674418605,0.5523809523809524,0.3314285714285714,0.14095238095238094,0.13142857142857142,0.03238095238095238
62-001,0.7765089722675367,0.09706362153344208,0.06892332789559544,0.2573409461663948,0.08890701468189233,0.23123980424143556,0.044861337683523655,0.013050570962479609,0.005301794453507341,0.9302610114192496,0.0065252854812398045,0.0,0.8637015781922525,0.8866571018651362,0.9971305595408895,0.25107604017216645,0.6138888888888889,0.6888888888888889,0.5069444444444444,0.30833333333333335,0.06805555555555555
62-999,0.7632696390658175,0.09447983014861996,0.06740976645435244,0.22717622080679406,0.061040339702760085,0.2372611464968153,0.12154989384288747,0.019639065817409766,0.0074309978768577496,0.8428874734607219,0.008492569002123142,0.0,0.7606679035250464,0.6679035250463822,0.9814471243042672,0.3580705009276438,0.6762075134168157,0.6422182468694096,0.4543828264758497,0.26654740608228983,0.08228980322003578
63-001,0.7239722370528564,0.10411105178857448,0.04538174052322477,0.198611852642819,0.04965296316070475,0.22744260544580885,0.032568072610784836,0.020822210357714897,0.0037373198077949813,0.9247197010144154,0.018152696209289908,0.0,0.8286189683860233,0.8985024958402662,0.9983361064891847,0.2079866888519135,0.5338842975206611,0.7256198347107438,0.4512396694214876,0.33553719008264465,0.05785123966942149
63-002,0.725359522974395,0.07927043142756927,0.045247281655559454,0.1890564714135391,0.053314626446860754,0.19221325850578744,0.021396001403016486,0.025955804980708524,0.011925640126271484,0.9316029463346195,0.009119607155384075,0.0,0.7641304347826087,0.9489130434782609,0.9967391304347826,0.175,0.49945828819068255,0.7150595882990249,0.49295774647887325,0.24702058504875407,0.05308775731310943
63-003,0.7372320719767134,0.08441386610214342,0.06377348504895475,0.21619476051865572,0.06033342154008997,0.22228102672664726,0.045514686424980154,0.0224927229425774,0.003440063508864779,0.9010320190526594,0.02540354591161683,0.0021169621593014024,0.9469164715066355,0.9664324746291959,0.9976580796252927,0.15768930523028885,0.4034134988363072,0.6501163692785105,0.425911559348332,0.2591155934833204,0.0682699767261443
63-004,0.733912683633354,0.08917856403889923,0.06496999793089178,0.2042209807572936,0.06621146285950755,0.2377405338299193,0.047589488930271054,0.03041589075108628,0.006414235464514794,0.8981998758535071,0.015518311607697082,0.00186219739292365,0.9523809523809523,0.9715608465608465,0.9986772486772487,0.18783068783068782,0.44248366013071894,0.6908496732026144,0.44313725490196076,0.26405228758169935,0.06601307189542484
